Raasi,Approximate Nakshatra on Purnima,Lunar Month Name,Solar Month Name,Assamese Version,Tamil Version,Punjabi Version
Mesha,Chitra,Chaitra,Vaisakha,Bahag,Chittarai,Vaisakh
Vrshava,Visakha,Vaisakha,Jyaishta,Jeth,Vaikasi,Jeth
Mithuna,Jyestha,Jaishta,Aashaadha,Ahar,Aani,Harh
Karkata,(Purva & Uttara) Ashaadha,Aashaadha,Sraavana,Saon,Aadi,Sawan
Simha,Sravana,Sraavana,Bhaadrapada,Bhad,Aavani,Bhadon
Kanya,(Purva & Uttara) Bhaadrapada,Bhaadrapada,Asvayuja (Aasvina),Ahin,Purattaasi,Asu
Tula,Asvini,Asvayuja (Aasvina),Kaarthika,Kati,Arppisi,Katik
Vrischika,Krittika,Kaarthika,Maarghasira,Aghon,Karthigai,Maghar
Dhanus,Mrugasira,Maarghasira,Pushyam (Pausa),Puha,Maargali,Poh
Makara,Pushyami,Pushyam (Pausa),Maagha,Magh,Thaai,Magh
Kumbha,Maagha,Maagha,Phalguna,Phagun,Maasi,Phagun
Mina,(Uttara & Purva) Phalguni,Phalguna,Chaitra,Chait,Panguni,Chet
